emp_no,first_name,last_name,gender,salary,to_date
10258,Basil,Ishibashi,F,66280,9999-01-01
10070,Reuven,Garigliano,M,55999,9999-01-01
10129,Armond,Peir,M,40000,9999-01-01
10130,Nishit,Casperson,M,40000,9999-01-01
10138,Perry,Shimshoni,M,53574,9999-01-01
10150,Zhenbing,Perng,F,70122,9999-01-01
10153,Heekeun,Majewski,M,54246,9999-01-01
10396,Sibyl,Rahier,M,40393,9999-01-01
10404,Prodip,Rosti,F,51647,9999-01-01
10426,Arunas,Luce,F,65757,9999-01-01
10512,Udi,Gihr,M,40000,9999-01-01
10522,Marke,Cesareni,F,40000,9999-01-01
10564,Jianhao,Thisen,M,46660,9999-01-01
10749,King,Brendel,M,60829,9999-01-01
10631,Inderjeet,Chaudhuri,M,40000,9999-01-01
10642,Hirochika,Narlikar,M,40000,9999-01-01
10768,Ishfaq,Candan,M,65717,9999-01-01
10718,Adib,Rullman,M,75473,9999-01-01
10808,Chenxi,Leijenhorst,M,40000,9999-01-01
10943,Berna,Skafidas,M,45890,9999-01-01
10921,Mara,Bahi,F,72601,9999-01-01
10965,Eckart,Braunschweig,M,61654,9999-01-01
10988,Chinya,Deyuan,M,54174,9999-01-01
11027,Remzi,Cappello,M,40000,9999-01-01
11133,Nalini,Azulay,M,40000,9999-01-01
11038,Jinya,Beidas,M,44993,9999-01-01
11042,Gou,Breugel,F,40000,9999-01-01
11137,Hugh,Luca,M,40000,9999-01-01
11100,Berna,Cochrane,M,40000,9999-01-01
11139,Bogdan,Homond,F,63596,9999-01-01
11106,Aris,Iwayama,F,71446,9999-01-01
11197,Tadahiro,Fordan,M,88741,9999-01-01
11204,Diederik,Covnot,M,40000,9999-01-01
11319,Pranas,Marrakchi,F,40000,9999-01-01
11207,Saeed,Gips,F,49728,9999-01-01
11232,Hidefumi,Crelier,M,43863,9999-01-01
11240,Kiam,Condotta,M,61739,9999-01-01
11251,Bezalel,Chinal,M,69432,9999-01-01
11449,Kotesh,Asser,M,61434,9999-01-01
11275,Hitomi,Eppinger,F,58382,9999-01-01
11732,Sanjoy,Ranft,F,40000,9999-01-01
11506,Rance,Picel,F,89747,9999-01-01
11515,Ulf,Basawa,F,70182,9999-01-01
11524,Xiadong,Standera,M,41081,9999-01-01
11528,Zito,Dolinsky,M,44026,9999-01-01
11537,DAIDA,Pehl,M,96023,9999-01-01
11554,Subhash,Taubenfeld,M,46065,9999-01-01
11735,Amalendu,Picci,M,40000,9999-01-01
11555,Kotesh,Perfilyeva,M,40000,9999-01-01
11817,Niranjan,Markovitch,M,50638,9999-01-01
11568,Martins,Fujisaki,M,54673,9999-01-01
11615,Shem,Isaak,F,46591,9999-01-01
11624,Adil,Gammage,M,42001,9999-01-01
12070,Ger,Shokrollahi,M,50233,9999-01-01
11660,Gill,Stenning,F,65758,9999-01-01
11857,Divier,Farrag,F,94805,9999-01-01
11906,Hideo,Boguraev,F,81324,9999-01-01
12076,Karlis,Siprelle,F,75381,9999-01-01
12159,Shem,Perly,M,61210,9999-01-01
11993,Marit,Dalphin,M,56505,9999-01-01
12205,Sushant,Rossi,M,40000,9999-01-01
12221,Vincent,Melter,M,56736,9999-01-01
12256,Guadalupe,Reghbati,F,40000,9999-01-01
12272,Behnaam,Grandbois,F,43811,9999-01-01
12413,Hugh,Gadepally,F,53179,9999-01-01
12311,Susanne,Lubachevsky,M,40000,9999-01-01
12417,Dannz,Spelt,F,67342,9999-01-01
12341,Rasiah,Luga,M,40000,9999-01-01
12464,Shai,Milicic,F,50448,9999-01-01
12395,Sanjit,Felder,M,66909,9999-01-01
12489,Arnould,Munck,F,63306,9999-01-01
12490,Jackson,Muchinsky,F,40000,9999-01-01
12399,Mihalis,Luga,M,85582,9999-01-01
12596,Breannda,Roisin,M,40000,9999-01-01
12601,Ghassan,Simkin,M,41714,9999-01-01
12608,Nectarios,Mondadori,M,40000,9999-01-01
12642,Suebskul,Gips,F,68271,9999-01-01
12815,Sushant,Junot,M,65073,9999-01-01
12697,Uri,Brizzi,M,40000,9999-01-01
12879,Baruch,Eugenio,M,40000,9999-01-01
12890,Neven,Casley,F,66803,9999-01-01
12905,Munehiro,Gecsei,M,58659,9999-01-01
12709,Ronghao,Botman,M,45510,9999-01-01
12949,Geoff,Asrin,F,40000,9999-01-01
12722,Elliott,Cheshire,F,62325,9999-01-01
12755,Rildo,Rodite,F,40196,9999-01-01
13147,Shichao,Ginesta,M,77429,9999-01-01
13030,Yahiko,Kroll,M,51770,9999-01-01
13170,Cheong,Bernardeschi,M,49012,9999-01-01
13075,Rosella,Morrin,M,40000,9999-01-01
13179,Moty,Janocha,M,90233,9999-01-01
13186,Kyoichi,Barbanera,M,93138,9999-01-01
13124,Quingbo,Garnick,F,73785,9999-01-01
13232,Mitchel,Fujisaki,F,40000,9999-01-01
13133,Guther,Senzako,M,67777,9999-01-01
13134,Lorien,Chepyzhov,M,51227,9999-01-01
13240,King,Pileggi,M,49018,9999-01-01
13276,Yechiam,Seuren,M,65836,9999-01-01
13402,Augustine,Dulli,M,40000,9999-01-01
13315,Sakthirel,Stroustrup,F,40000,9999-01-01
13415,Nathalie,Speer,F,61838,9999-01-01
13457,Shooichi,Parfitt,M,40812,9999-01-01
13704,Vishu,Kumaresan,F,40000,9999-01-01
13769,Yakichi,Trogemann,F,61025,9999-01-01
13524,Chaoyi,Porotnikoff,F,52849,9999-01-01
13775,Arve,Maierhofer,M,70161,9999-01-01
13546,Aimee,Brookner,F,50295,9999-01-01
13552,Ingmar,Capobianchi,M,73346,9999-01-01
13825,Arlette,Pell,M,54704,9999-01-01
14111,Leszek,Cummings,F,52696,9999-01-01
13653,Kristen,Iivonen,M,53242,9999-01-01
14209,Masanao,Kusakabe,F,40000,9999-01-01
13962,Maris,Ghelli,M,67965,9999-01-01
13992,Ulises,Kenevan,M,81318,9999-01-01
14242,Sudhanshu,Benaini,F,40000,9999-01-01
14005,Vojin,Stellhorn,M,40000,9999-01-01
14290,Miyeon,Olivero,M,78736,9999-01-01
14067,Godehard,Trachtenberg,M,44669,9999-01-01
14340,Vitaly,Wixon,M,42858,9999-01-01
14460,Yagil,Lueh,F,56267,9999-01-01
14344,Otilia,Buescher,F,41979,9999-01-01
14360,Janche,Erbe,M,43476,9999-01-01
14516,Kristian,Underwood,F,73262,9999-01-01
14518,Patricia,Peir,M,64238,9999-01-01
14522,Chuanyi,Ranta,F,40000,9999-01-01
14632,Gudjon,McClurg,M,40000,9999-01-01
14581,Gao,Condotta,F,59499,9999-01-01
14642,Florian,Kuhnemann,F,54553,9999-01-01
14645,Laurentiu,Glinert,F,45647,9999-01-01
14814,Odysseas,Nishimukai,M,40000,9999-01-01
14817,Gaurav,Masaki,M,41203,9999-01-01
14648,IEEE,Lorys,M,89209,9999-01-01
14675,Teunis,Angel,F,40000,9999-01-01
14677,Herbert,Sifakis,M,40000,9999-01-01
14877,Arto,Meriste,M,40000,9999-01-01
14928,Satoru,Mukaidono,F,53377,9999-01-01
14942,Heon,Benveniste,M,40000,9999-01-01
14954,Fox,Magliocco,F,43510,9999-01-01
14971,Fan,Simmen,M,55187,9999-01-01
14983,Hyuckchul,Pouyioutas,M,86754,9999-01-01
14993,Sanjay,Koblitz,M,45407,9999-01-01
15052,Flemming,Kranzdorf,M,40630,9999-01-01
15092,Remmert,Bahi,F,40000,9999-01-01
15114,Pantung,Honglei,M,40000,9999-01-01
15193,Neelam,Schach,M,47039,9999-01-01
15196,Souichi,Duclos,M,55824,9999-01-01
14683,Alois,Basart,M,41107,9999-01-01
15218,Shuky,Conry,M,44614,9999-01-01
15234,Jouko,Zhiwei,F,47654,9999-01-01
14724,Aron,Lemarechal,M,66530,9999-01-01
15269,Eric,Reghbati,F,60930,9999-01-01
15330,Jaroslava,Chinal,M,53020,9999-01-01
14785,Zhonghua,Kaiser,M,46936,9999-01-01
15343,Chaosheng,Luce,F,48936,9999-01-01
15370,Chuanyi,Nilsson,F,67631,9999-01-01
15392,Pradeep,Markovitch,M,55638,9999-01-01
15566,Baoqiu,Azuma,M,61655,9999-01-01
15408,Maik,Penttonen,F,40000,9999-01-01
15479,Zhenbing,Soicher,M,40000,9999-01-01
15480,Kwok,Trogemann,M,47645,9999-01-01
15511,George,Kowalchuk,F,76880,9999-01-01
15651,Huan,Iwayama,F,50313,9999-01-01
15765,Tonny,Taubenfeld,F,40000,9999-01-01
15809,Mingsen,Antonisse,M,50619,9999-01-01
15687,Dekang,Ambroszkiewicz,M,62333,9999-01-01
15819,Magdalena,Rajcani,M,63847,9999-01-01
15877,Yannik,Kroll,M,40000,9999-01-01
15880,Miquel,Dechter,M,40000,9999-01-01
15703,Chenye,Hanratty,M,40000,9999-01-01
